existing_location_name,revised_location_name
hatchery ditch,hatchery ditch
hour bars,hour bars
hatchery riffle,hatchery riffle
hatchery ditch,hatchery ditch
trailer park riffle,trailer park riffle
bedrock park,bedrock park riffle
steep riffle,steep riffle
robinson side channel,robinson riffle 
steep side channel,steep riffle 
robinson riffle,robinson riffle
upper big hole,upper big hole
lower big hole,lower big hole
g95,g95
g95 east,g95
lower hole,lower big hole
hour bars,hour bars
gridley riffle,gridley riffle
big bar,big bar
goose riffle,goose riffle
macfarland riffle,macfarland riffle
shallow,shallow riffle
herringer,herringer riffle
junkyard,junkyard riffle
hatchery riffle,hatchery riffle
auditorium riffle,auditorium riffle
hatchery ditch,hatchery ditch
trailer park riffle,trailer park riffle
robinson riffle,robinson riffle
robinson side channel,robinson riffle
bedrock riffle,bedrock park riffle
eye side channel,eye riffle
mathews riffle,matthews riffle
eye riffle,eye riffle
steep side channel,steep riffle
steep riffle,steep riffle
lower hour,lower hour
lower hour side channel,lower hour
goose riffle,goose riffle
big bar,big bar
gridley riffle,gridley riffle
junkyard riffle,junkyard riffle
shallow riffle,shallow riffle
hatchery ditch,hatchery ditch
hatchery riffle,hatchery riffle
bedrock riffle,bedrock park riffle
trailer park,trailer park riffle
mathews riffle,matthews riffle
aleck riffle,aleck riffle
robinson side channel,robinson riffle 
robinson main channel,robinson riffle
steep riffle,steep riffle
steep side riffle,steep riffle 
weir riffle,weir riffle
eye riffle,eye riffle
vance avenue bl - river left,vance avenue
big hole island,big hole
across from big hole boat ramp,big hole
g95,g95
g95 (area),g95
hatchery ditch,hatchery ditch
hatchery riffle,hatchery riffle
auditorium riffle,auditorium riffle
bedrock,bedrock park riffle
aleck riffle,aleck riffle
robinson side channel,robinson riffle 
lower robinson,robinson riffle
steep side channel,steep riffle 
eye riffle main channel,eye riffle
eye riffle side,eye riffle 
big hole,big hole
big hole,big hole
g95,g95
g95 west side channel,g95
hour riffle,hour riffle
hour bars,hour bars
macfarland riffle,macfarland riffle
goose riffle,goose riffle
macfarland riffle,macfarland riffle
gridley riffle,gridley riffle
junkyard riffle,junkyard riffle
shallow riffle side,shallow riffle
herringer riffle,herringer riffle
herringer riffle,herringer riffle
shallow riffle,shallow riffle
gridley riffle,gridley riffle
hatchery riffle,hatchery riffle
auditorium riffle,auditorium riffle
big bar,big bar
goose riffle,goose riffle
hour bars,hour bars
lower hour,lower hour
g 95,g95
lower big hole,lower big hole
east g 95,g95
vance avenue,vance avenue
auditorium,auditorium riffle
aleck riffle,aleck riffle
weir,weir riffle
eye riffle,eye riffle
eye side channel,eye riffle
hatchery ditch,hatchery ditch
trailer park,trailer park
mathews riffle,matthews riffle
aleck riffle,aleck riffle
steep riffle,steep riffle
robinson riffle,robinson riffle
robinson side channel,robinson riffle
weir riffle,weir riffle
eye riffle side channel,eye riffle
eye riffle,eye riffle
vance (300 yards below-rr-right channel,vance avenue
across big hole island ( river right),big hole
across from big hole,big hole
g95,g95
g-95 side channel,g95
hour riffle,hour riffle
goose riffle,goose riffle
big bar,big bar
mcfarland riffle`,macfarland riffle
gridley side channel,gridley riffle
junkyard riffle,junkyard riffle
gridley riffle,gridley riffle
shallow riffle,shallow riffle
herringer main river left,herringer riffle
g95 rr downstream head,g95
steep riffle,steep riffle
hatchery riffle,hatchery riffle
auditorium,auditorium riffle
"bedrock park, unit #50",bedrock park riffle
"trailer park, unit #98",trailer park riffle
matthews riffle,matthews riffle
robinson riffle,robinson riffle
steep side channel,steep riffle
"eye riffle, unit #208",eye riffle
river right below vance ave bridge,vance avenue
big bar - middle island river right,big bar
