Snorkel.Sections,River.Mile,Channel
1,1,LFC
2,1,LFC
4,1,LFC
5,1,LFC
6,1,LFC
8,1,LFC
9,1,LFC
10,1,LFC
12,1,LFC
13,1,LFC
14,1,LFC
16,1,LFC
17,1,LFC
18,1,LFC
20,1,LFC
21,1,LFC
22,1,LFC
24,1,LFC
25,1,LFC
26,1,LFC
28,1,LFC
29,1,LFC
30,1,LFC
29A,1,LFC
30A,1,LFC
31A,1,LFC
33,1,LFC
34,1,LFC
35,1,LFC
37,1,LFC
38,1,LFC
39,1,LFC
41,1,LFC
42,1,LFC
43,1,LFC
45,1,LFC
46,1,LFC
47,1,LFC
49,1,LFC
50,2,LFC
51,2,LFC
53,2,LFC
54,2,LFC
55,2,LFC
57,2,LFC
58,2,LFC
59,2,LFC
61,2,LFC
62,2,LFC
63,2,LFC
65,2,LFC
66,2,LFC
67,2,LFC
69,2,LFC
70,2,LFC
130,4,LFC
133,4,LFC
137,5,LFC
141,5,LFC
145,5,LFC
149,5,LFC
153,5,LFC
157,5,LFC
161,5,LFC
165,6,LFC
169,6,LFC
172,6,LFC
176,6,LFC
180,6,LFC
184,6,LFC
188,7,LFC
192,7,LFC
196,7,LFC
199,7,LFC
203,7,LFC
207,7,LFC
211,7,LFC
215,7,LFC
217,7,LFC
220,8,LFC
224,8,LFC
228,8,LFC
232,8,LFC
236,8,LFC
240,8,LFC
244,8,LFC
248,9,HFC
252,9,HFC
255,9,HFC
259,9,HFC
263,9,HFC
267,9,HFC
271,9,HFC
275,9,HFC
279,9,HFC
282,9,HFC
286,9,HFC
290,9,HFC
294,10,HFC
298,10,HFC
302,10,HFC
306,10,HFC
310,10,HFC
314,10,HFC
318,10,HFC
322,10,HFC
324,10,HFC
328,10,HFC
329,10,HFC
333,11,HFC
337,11,HFC
341,11,HFC
345,11,HFC
349,11,HFC
353,11,HFC
357,11,HFC
361,11,HFC
365,11,HFC
369,11,HFC
373,12,HFC
377,12,HFC
381,12,HFC
385,12,HFC
389,12,HFC
393,12,HFC
397,12,HFC
401,13,HFC
405,13,HFC
409,13,HFC
413,13,HFC
414,13,HFC
418,13,HFC
422,13,HFC
426,14,HFC
430,14,HFC
434,14,HFC
438,15,HFC
442,15,HFC
446,15,HFC
450,15,HFC
454,15,HFC
458,16,HFC
462,16,HFC
466,16,HFC
470,17,HFC
474,17,HFC
478,18,HFC
482,18,HFC
486,18,HFC
490,18,HFC
494,18,HFC
498,19,HFC
502,19,HFC
506,19,HFC
510,19,HFC
514,20,HFC
518,20,HFC
522,20,HFC
526,21,HFC
530,21,HFC
534,21,HFC
538,21,HFC
542,21,HFC
MOES,1,LFC
71,2,LFC
73,2,LFC
74,2,LFC
75,2,LFC
77,2,LFC
78,2,LFC
79,2,LFC
81,3,LFC
82,3,LFC
83,3,LFC
85,3,LFC
86,3,LFC
87,3,LFC
89,3,LFC
90,3,LFC
91,3,LFC
93,3,LFC
94,3,LFC
95,3,LFC
97,3,LFC
98,3,LFC
99,3,LFC
101,3,LFC
102,3,LFC
103,3,LFC
105,3,LFC
106,4,LFC
108,4,LFC
109,4,LFC
110,4,LFC
112,4,LFC
113,4,LFC
114,4,LFC
116,4,LFC
117,4,LFC
118,4,LFC
120,4,LFC
121,4,LFC
121A,4,LFC
123,4,LFC
124,4,LFC
125,4,LFC
127,4,LFC
128,4,LFC
129,4,LFC
131,4,LFC
132,4,LFC
134,4,LFC
135,4,LFC
136,4,LFC
138,5,LFC
139,5,LFC
140,5,LFC
142,5,LFC
143,5,LFC
144,5,LFC
146,5,LFC
147,5,LFC
148,5,LFC
150,5,LFC
151,5,LFC
152,5,LFC
154,5,LFC
155,5,LFC
156,5,LFC
158,5,LFC
159,5,LFC
160,5,LFC
162,5,LFC
163,5,LFC
164,6,LFC
166,6,LFC
167,6,LFC
168,6,LFC
170,6,LFC
171,6,LFC
173,6,LFC
174,6,LFC
175,6,LFC
177,6,LFC
178,6,LFC
179,6,LFC
181,6,LFC
182,6,LFC
183,6,LFC
185,7,LFC
186,7,LFC
187,7,LFC
189,7,LFC
190,7,LFC
191,7,LFC
193,7,LFC
194,7,LFC
195,7,LFC
197,7,LFC
198,7,LFC
200,7,LFC
201,7,LFC
202,7,LFC
204,7,LFC
205,7,LFC
206,7,LFC
208,7,LFC
209,7,LFC
210,7,LFC
212,7,LFC
213,7,LFC
214,7,LFC
215A,7,LFC
215B,7,LFC
216,7,LFC
218,8,LFC
219,8,LFC
221,8,LFC
222,8,LFC
223,8,LFC
225,8,LFC
226,8,LFC
227,8,LFC
229,8,LFC
230,8,LFC
231,8,LFC
233,8,LFC
234,8,LFC
235,8,LFC
237,8,LFC
238,8,LFC
239,8,LFC
241,8,LFC
242,8,LFC
243,8,LFC
245,8,LFC
246,8,LFC
247,8,LFC
249,9,HFC
250,9,HFC
251,9,HFC
253,9,HFC
254,9,HFC
256,9,HFC
257,9,HFC
258,9,HFC
260,9,HFC
261,9,HFC
262,9,HFC
264,9,HFC
265,9,HFC
266,9,HFC
268,9,HFC
269,9,HFC
270,9,HFC
272,9,HFC
273,9,HFC
274,9,HFC
276,9,HFC
277,9,HFC
278,9,HFC
280,9,HFC
281,9,HFC
283,9,HFC
284,9,HFC
285,9,HFC
287,9,HFC
288,9,HFC
289,9,HFC
291,10,HFC
292,10,HFC
293,10,HFC
295,10,HFC
296,10,HFC
297,10,HFC
299,10,HFC
300,10,HFC
301,10,HFC
303,10,HFC
304,10,HFC
305,10,HFC
307,10,HFC
308,10,HFC
309,10,HFC
311,10,HFC
312,10,HFC
313,10,HFC
315,10,HFC
316,10,HFC
317,10,HFC
319,10,HFC
320,10,HFC
321,10,HFC
323,10,HFC
323A,10,HFC
323B,10,HFC
325,10,HFC
326,10,HFC
327,10,HFC
330,10,HFC
331,10,HFC
332,11,HFC
334,11,HFC
335,11,HFC
336,11,HFC
338,11,HFC
339,11,HFC
340,11,HFC
342,11,HFC
343,11,HFC
344,11,HFC
346,11,HFC
347,11,HFC
348,11,HFC
350,11,HFC
351,11,HFC
352,11,HFC
354,11,HFC
355,11,HFC
356,11,HFC
358,11,HFC
359,11,HFC
360,11,HFC
362,11,HFC
363,11,HFC
364,11,HFC
366,11,HFC
367,11,HFC
368,11,HFC
370,11,HFC
371,12,HFC
372,12,HFC
374,12,HFC
375,12,HFC
376,12,HFC
378,12,HFC
379,12,HFC
380,12,HFC
382,12,HFC
383,12,HFC
384,12,HFC
386,12,HFC
387,12,HFC
388,12,HFC
390,12,HFC
391,12,HFC
392,12,HFC
394,12,HFC
395,12,HFC
396,12,HFC
398,12,HFC
399,12,HFC
400,12,HFC
402,13,HFC
403,13,HFC
404,13,HFC
406,13,HFC
407,13,HFC
408,13,HFC
410,13,HFC
411,13,HFC
412,13,HFC
415,13,HFC
416,13,HFC
417,13,HFC
419,13,HFC
420,13,HFC
421,13,HFC
423,13,HFC
424,14,HFC
425,14,HFC
427,14,HFC
428,14,HFC
429,14,HFC
431,14,HFC
432,14,HFC
433,14,HFC
435,14,HFC
436,15,HFC
437,15,HFC
439,15,HFC
440,15,HFC
441,15,HFC
443,15,HFC
444,15,HFC
445,15,HFC
447,15,HFC
448,15,HFC
449,15,HFC
451,15,HFC
452,15,HFC
453,15,HFC
455,15,HFC
456,15,HFC
457,15,HFC
459,16,HFC
460,16,HFC
461,16,HFC
463,16,HFC
464,16,HFC
465,16,HFC
467,17,HFC
468,17,HFC
469,17,HFC
471,17,HFC
472,17,HFC
473,17,HFC
475,17,HFC
476,18,HFC
477,18,HFC
479,18,HFC
480,18,HFC
481,18,HFC
483,18,HFC
484,18,HFC
485,18,HFC
487,18,HFC
488,18,HFC
489,18,HFC
491,18,HFC
492,18,HFC
493,18,HFC
495,18,HFC
496,19,HFC
497,19,HFC
499,19,HFC
500,19,HFC
501,19,HFC
503,19,HFC
504,19,HFC
505,19,HFC
507,19,HFC
508,19,HFC
509,19,HFC
511,20,HFC
512,20,HFC
513,20,HFC
515,20,HFC
516,20,HFC
517,20,HFC
519,20,HFC
520,20,HFC
521,20,HFC
523,20,HFC
524,20,HFC
525,20,HFC
527,21,HFC
528,21,HFC
529,21,HFC
531,21,HFC
532,21,HFC
533,21,HFC
535,21,HFC
536,21,HFC
537,21,HFC
539,21,HFC
540,21,HFC
541,21,HFC
3,1,LFC
7,1,LFC
11,1,LFC
15,1,LFC
19,1,LFC
23,1,LFC
27,1,LFC
31,1,LFC
32,1,LFC
36,1,LFC
40,1,LFC
44,1,LFC
48,1,LFC
52,2,LFC
56,2,LFC
60,2,LFC
64,2,LFC
68,2,LFC
72,2,LFC
76,2,LFC
80,3,LFC
84,3,LFC
88,3,LFC
92,3,LFC
96,3,LFC
100,3,LFC
104,3,LFC
107,4,LFC
111,4,LFC
115,4,LFC
119,4,LFC
122,4,LFC
126,4,LFC
