year,start_date,end_date,survey_week
2014,2014-09-09,2014-09-09,1
2014,2014-09-15,2014-09-18,2
2014,2014-09-22,2014-09-26,3
2014,2014-09-29,2014-10-03,4
2014,2014-10-06,2014-10-10,5
2014,2014-10-14,2014-10-17,6
2014,2014-10-20,2014-10-22,7
2014,2014-11-12,2014-11-13,8
2014,2014-11-21,2014-11-21,9
2014,2014-10-09,2014-10-09,10
2014,2014-11-07,2014-11-07,11
2015,2015-09-16,2015-09-18,1
2015,2015-09-21,2015-09-24,2
2015,2015-09-28,2015-10-02,3
2015,2015-10-05,2015-10-09,4
2015,2015-10-14,2015-10-16,5
2015,2015-10-16,2015-10-16,14
2015,2015-10-19,2015-10-23,6
2015,2015-10-26,2015-10-30,7
2015,2015-11-02,2015-11-05,8
2015,2015-11-10,2015-11-11,9
2015,2015-11-17,2015-11-19,10
2015,2015-11-24,2015-11-24,11
2015,2015-11-30,2015-11-30,12
2015,2015-12-03,2015-12-04,13
2016,2016-09-20,2016-09-20,1
2016,2016-09-27,2016-09-29,2
2016,2016-10-04,2016-10-06,3
2016,2016-10-10,2016-10-13,4
2016,2016-10-17,2016-10-21,5
2016,2016-10-26,2016-10-28,6
2016,2016-10-31,2016-11-04,7
2016,2016-11-07,2016-11-09,8
2016,2016-11-18,2016-11-18,9
2017,2017-10-03,2017-10-06,1
2017,2017-10-10,2017-10-12,2
2017,2017-10-16,2017-10-18,3
2017,2017-10-19,2017-10-19,12
2017,2017-10-23,2017-10-26,4
2017,2017-10-30,2017-11-03,5
2017,2017-11-06,2017-11-09,6
2017,2017-11-13,2017-11-17,7
2017,2017-11-20,2017-11-22,8
2017,2017-11-27,2017-11-30,9
2017,2017-12-04,2017-12-07,10
2017,2017-12-11,2017-12-14,11
2018,2018-09-18,2018-09-18,1
2018,2018-09-24,2018-09-27,2
2018,2018-10-01,2018-10-05,3
2018,2018-10-08,2018-10-12,4
2018,2018-10-14,2018-10-18,5
2018,2018-10-22,2018-10-26,6
2018,2018-10-30,2018-11-02,7
2018,2018-11-06,2018-11-07,8
2018,2018-11-19,2018-11-19,9
2018,2018-11-28,2018-11-28,10
2019,2019-09-03,2019-09-06,1
2019,2019-09-09,2019-09-09,2
2019,2019-09-16,2019-09-20,3
2019,2019-09-23,2019-09-25,4
2019,2019-09-30,2019-10-04,5
2019,2019-10-07,2019-10-11,6
2019,2019-10-14,2019-10-18,7
2019,2019-10-21,2019-10-25,8
2019,2019-10-28,2019-11-01,9
2019,2019-11-04,2019-11-07,10
2019,2019-11-12,2019-11-15,11
2019,2019-11-19,2019-11-22,12
2020,2020-09-22,2020-09-23,1
2020,2020-09-28,2020-09-30,2
2020,2020-10-05,2020-10-09,3
2020,2020-10-13,2020-10-16,4
2020,2020-10-19,2020-10-23,5
2020,2020-10-26,2020-10-30,6
2020,2020-11-02,2020-11-06,7
2020,2020-11-09,2020-11-13,8
2020,2020-11-16,2020-11-20,9
2021,2021-09-16,2021-09-17,1
2021,2021-09-22,2021-09-24,2
2021,2021-09-28,2021-10-01,3
2021,2021-10-06,2021-10-08,4
2021,2021-10-12,2021-10-15,5
2021,2021-10-19,2021-10-21,6
2021,2021-10-27,2021-10-28,7
2021,2021-11-02,2021-11-05,8
2022,2022-09-14,2022-09-16,1
2022,2022-09-19,2022-09-21,2
2022,2022-09-26,2022-09-29,3
2022,2022-10-02,2022-10-06,4
2022,2022-10-11,2022-10-13,5
2022,2022-10-18,2022-10-20,6
2022,2022-10-25,2022-10-28,7
2022,2022-10-31,2022-11-04,8
2022,2022-11-07,2022-11-09,9
2022,2022-11-15,2022-11-18,10
2022,2022-11-21,2022-11-23,11
2022,2022-11-28,2022-12-02,12
2023,2023-09-18,2023-09-18,1
2023,2023-09-26,2023-09-27,2
2023,2023-10-03,2023-10-05,3
2023,2023-10-11,2023-10-13,4
2023,2023-10-18,2023-10-20,5
2023,2023-10-24,2023-10-27,6
2023,2023-10-30,2023-11-03,7
2023,2023-11-08,2023-11-08,8
2023,2023-11-13,2023-11-13,9
2023,2023-11-29,2023-11-29,11
