year,survey_wk,start_date,end_date
2014,1,9/9/2014,9/9/2014
2014,2,9/15/2014,9/18/2014
2014,3,9/22/2014,9/26/2014
2014,4,9/29/2014,10/3/2014
2014,5,10/6/2014,10/10/2014
2014,6,10/14/2014,10/17/2014
2014,7,10/20/2014,10/22/2014
2014,8,11/12/2014,11/13/2014
2014,9,11/21/2014,11/21/2014
2014,HF,10/9/2014,10/9/2014
2014,HF2,11/7/2014,11/7/2014
2015,1,9/16/2015,9/18/2015
2015,2,9/21/2015,9/24/2015
2015,3,9/28/2015,10/2/2015
2015,4,10/5/2015,10/9/2015
2015,5,10/14/2015,10/16/2015
2015,HFWk1,10/16/2015,10/16/2015
2015,6,10/19/2015,10/23/2015
2015,7,10/26/2015,10/30/2015
2015,8,11/2/2015,11/5/2015
2015,9,11/10/2015,11/11/2015
2015,10,11/17/2015,11/19/2015
2015,11,11/24/2015,11/24/2015
2015,12,11/30/2015,11/30/2015
2015,13,12/3/2015,12/4/2015
2016,1,9/20/2016,9/20/2016
2016,2,9/27/2016,9/29/2016
2016,3,10/4/2016,10/6/2016
2016,4,10/10/2016,10/13/2016
2016,5,10/17/2016,10/21/2016
2016,6,10/26/2016,10/28/2016
2016,7,10/31/2016,11/4/2016
2016,8,11/7/2016,11/9/2016
2016,9,11/18/2016,11/18/2016
2017,1,10/3/2017,10/6/2017
2017,2,10/10/2017,10/12/2017
2017,Low Flow 1-1,10/11/2017,10/11/2017
2017,3,10/16/2017,10/18/2017
2017,High Flow 1-1,10/19/2017,10/19/2017
2017,4,10/23/2017,10/26/2017
2017,5,10/30/2017,11/3/2017
2017,6,11/6/2017,11/9/2017
2017,7,11/13/2017,11/17/2017
2017,8,11/20/2017,11/22/2017
2017,9,11/27/2017,11/30/2017
2017,10,12/4/2017,12/7/2017
2017,11,12/11/2017,12/14/2017
2018,1,9/18/2018,9/18/2018
2018,2,9/24/2018,9/27/2018
2018,3,10/1/2018,10/5/2018
2018,4,10/8/2018,10/12/2018
2018,5,10/14/2018,10/18/2018
2018,6,10/22/2018,10/26/2018
2018,7,10/30/2018,11/2/2018
2018,8,11/6/2018,11/7/2018
2018,9,11/19/2018,11/19/2018
2018,10,11/28/2018,11/28/2018
2019,1,9/3/2019,9/6/2019
2019,2,9/9/2019,9/9/2019
2019,3,9/16/2019,9/20/2019
2019,4,9/23/2019,9/25/2019
2019,5,9/30/2019,10/4/2019
2019,6,10/7/2019,10/11/2019
2019,7,10/14/2019,10/18/2019
2019,8,10/21/2019,10/25/2019
2019,9,10/28/2019,11/1/2019
2019,10,11/4/2019,11/7/2019
2019,11,11/12/2019,11/15/2019
2019,12,11/19/2019,11/22/2019
2020,1,9/22/2020,9/23/2020
2020,2,9/28/2020,9/30/2020
2020,3,10/5/2020,10/9/2020
2020,4,10/13/2020,10/16/2020
2020,5,10/19/2020,10/23/2020
2020,6,10/26/2020,10/30/2020
2020,7,11/2/2020,11/6/2020
2020,8,11/9/2020,11/13/2020
2020,9,11/16/2020,11/20/2020
2021,1,9/16/2021,9/17/2021
2021,2,9/22/2021,9/24/2021
2021,3,9/28/2021,10/1/2021
2021,4,10/6/2021,10/8/2021
2021,5,10/12/2021,10/15/2021
2021,6,10/19/2021,10/21/2021
2021,7,10/27/2021,10/28/2021
2021,8,11/2/2021,11/5/2021
2022,1,9/14/2022,9/16/2022
2022,2,9/19/2022,9/21/2022
2022,3,9/26/2022,9/29/2022
2022,4,10/2/2022,10/6/2022
2022,5,10/11/2022,10/13/2022
2022,6,10/18/2022,10/20/2022
2022,7,10/25/2022,10/28/2022
2022,8,10/31/2022,11/4/2022
2022,9,11/7/2022,11/9/2022
2022,10,11/15/2022,11/18/2022
2022,11,11/21/2022,11/23/2022
2022,12,11/28/2022,12/2/2022
2023,1,9/18/2023,9/18/2023
2023,2,9/26/2023,9/27/2023
2023,3,10/3/2023,10/5/2023
2023,4,10/11/2023,10/13/2023
2023,5,10/18/2023,10/20/2023
2023,6,10/24/2023,10/27/2023
2023,7,10/30/2023,11/3/2023
2023,8,11/8/2023,11/8/2023
2023,9,11/13/2023,11/13/2023
2023,11,11/29/2023,11/29/2023
